"filename", "language", "CSS", "JavaScript", "JSON", "Go", "Markdown", "Golang HTML Template", "XML", "Django txt", "Log", "HTTP", "comment", "blank", "total"
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\package.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\index.html", "Golang HTML Template", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\robots.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\actions.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 83
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\items.js", "JavaScript", 0, 376, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 402
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\messages.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 52
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\orders.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 86
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\snackbar.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\user.js", "JavaScript", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 28, 18, 288
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\webSocket.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\Images\fb.svg", "XML", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 279
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\Images\gmail-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\svg.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\App.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 150
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\AddressModal.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 30, 13, 220
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\EditAddressModal.js", "JavaScript", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 37, 14, 263
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Footer.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 126
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Header.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 134
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\LogRegModal.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 270
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Marker.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\NotFound.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\SearchBar.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\SnackBars\ErrorSnackbar.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 54
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\SnackBars\InfoSnackbar.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 63
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\SnackBars\SuccessSnackbar.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 63
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\MainPanel.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\AdminPanel\AdminMainPage.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 61
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\AdminPanel\ChatHistory.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\AdminPanel\Orders\AwaitingOrders.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Alert\AlertModal.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 64
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Alert\Alerts.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Alert\AlertsOverlay.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\Choices.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateCategoryForm.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 130
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateChoiceForm.js", "JavaScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 187
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateForm.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateIngredientForm.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 149
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateItemForm.js", "JavaScript", 0, 335, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 358
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreateOptionsData.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Create\CreatePage.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Home\HomePage.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 42, 7, 104
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Home\PrivateRoute.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\ChoicesComponent.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 119
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\IngredientsComponent.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 121
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\ItemsComponent.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 175
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\ItemsPage.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 62
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\SingleChoicePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\SingleIngredientPage.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 174
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Items\SingleItemPage.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 159
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderItemModal.js", "JavaScript", 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 455
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMainPage.js", "JavaScript", 0, 546, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 578
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMenuPage.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMenuPageComponents\LeftSideBar.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMenuPageComponents\MainContent.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 62
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMenuPageComponents\RightBar.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrderMenuPageComponents\TopBar.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\OrdersPage.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Orders\PreCompleteOrderPage.js", "JavaScript", 0, 410, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 425
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Stats\StatsPage.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 57
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\AllUsersPage.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\LoginForm.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 77
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\LoginPage.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\ProfilePages\MainPage.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 207
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\ProfilePages\UserAddress.js", "JavaScript", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 254
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\ProfilePages\UserOrders.js", "JavaScript", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 221
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\ProfilePages\UserRatings.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\MainPanel\Pages\Users\RegisterForm.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 176
